"","Headline","Skills","Linkedin"
"486","Data Scientist at Amazon","OPL",1
"487","Data Scientist at Amazon","Data Science",3
"488","Data Scientist at Amazon","Data Analytics",2
"489","Data Scientist at Amazon","Apache Pig",1
"490","Data Scientist at Amazon","Text Mining",8
"491","Data Scientist at Amazon","Regression Trees & Random Forests",11
"492","Data Scientist at Amazon","R",24
"493","Data Scientist at Amazon","Data Analysis",30
"494","Data Scientist at Amazon","Analytics",6
"495","Data Scientist at Amazon","3D Modeling",1
"496","Data Scientist at Amazon","Economics",1
"498","Data Scientist at Amazon","Machine Learning",2
"499","Data Scientist at Amazon","Python",21
"500","Data Scientist at Amazon","SQL",15
"501","Data Scientist at Amazon","Microsoft Excel",17
"502","Data Scientist at Amazon","PowerPoint",11
"503","Data Scientist at Amazon","Solidworks",5
"504","Data Scientist at Amazon","Problem Solving",4
"505","Data Scientist at Amazon","Team Management",2
"506","Data Scientist at Amazon","Deep Learning",2
"507","Data Scientist at Amazon","Natural Language Processing",2
"508","Data Scientist at Amazon","Cluster Analysis",10
"509","Data Scientist at Amazon","Linear Regression",10
"510","Data Scientist at Amazon","Logistic Regression",10
"511","Data Scientist at Amazon","Predictive Analytics",4
"512","Data Scientist at Amazon","Alteryx",4
"513","Data Scientist at Amazon","Spotfire",3
"514","Data Scientist at Apple","Data Analysis",27
"515","Data Scientist at Apple","Business Analysis",25
"516","Data Scientist at Apple","Microsoft Excel",23
"517","Data Scientist at Apple","Market Research",14
"518","Data Scientist at Apple","Analytics",7
"519","Data Scientist at Apple","Business Strategy",6
"522","Data Scientist at Apple","Microsoft Office",17
"523","Data Scientist at Apple","SQL",13
"524","Data Scientist at Apple","R",10
"526","Data Scientist at Apple","AutoCAD",6
"527","Data Scientist at Apple","Team Management",18
"528","Data Scientist at Apple","Team Leadership",9
"529","Data Scientist at Apple","Management",5
"530","Data Scientist at Apple","Decision Sciences",6
"531","Data Scientist at Apple","Data Analytics",6
"533","Data Scientist at Facebook","Python",2
"536","Data Scientist at Facebook","Cell Culture",1
"537","Data Scientist at Facebook","Confocal Microscopy",1
"538","Data Scientist at Facebook","Statistics",1
"539","Data Scientist at Facebook","Java",3
"540","Data Scientist at Facebook","C",2
"544","Data Scientist at Facebook","HTML",1
"547","Data Scientist at Autodesk","Python",47
"548","Data Scientist at Autodesk","SQL",40
"549","Data Scientist at Autodesk","Machine Learning",15
"550","Data Scientist at Autodesk","Data Analysis",41
"551","Data Scientist at Autodesk","Web Development",16
"552","Data Scientist at Autodesk","Research",16
"553","Data Scientist at Autodesk","Project Management",16
"554","Data Scientist at Autodesk","Big Data",1
"555","Data Scientist at Autodesk","SAS",20
"556","Data Scientist at Autodesk","R",30
"557","Data Scientist at Autodesk","Tableau",21
"558","Data Scientist at Autodesk","MongoDB",12
"559","Data Scientist at Autodesk","C",20
"560","Data Scientist at Autodesk","Java",24
"561","Data Scientist at Autodesk","HTML",15
"562","Data Scientist at Autodesk","Microsoft Excel",15
"563","Data Scientist at Autodesk","Microsoft PowerPoint",11
"564","Data Scientist at Autodesk","Microsoft Word",11
"565","Data Scientist at Autodesk","JavaScript",11
"566","Data Scientist at Autodesk","SharePoint",7
"567","Data Scientist at Autodesk","Microsoft Office",13
"568","Data Scientist at Autodesk","Databases",14
"569","Data Scientist at Autodesk","MySQL",16
"570","Data Scientist at Autodesk","Hadoop",1
"578","Data Scientist at Autodesk","Leadership",17
"579","Data Scientist at Autodesk","Management",13
"580","Data Scientist at Autodesk","Customer Service",9
"581","Data Scientist at Autodesk","Apache Spark",1
"583","Senior Data Scientist at Target","Data Analysis",6
"584","Senior Data Scientist at Target","Research",4
"585","Senior Data Scientist at Target","Statistics",4
"586","Senior Data Scientist at Target","Data Mining",3
"587","Senior Data Scientist at Target","Quantitative Research",2
"588","Senior Data Scientist at Target","Policy Analysis",2
